Title;EID;DOI;DocumentType;Year;Category
A novel method based on deep learning for herniated lumbar disc segmentation;2-s2.0-85100605938;10.1109/IC_ASET49463.2020.9318261;Conference Paper;2020;rehabilitation
Herniated lumbar disc generation and classification using cycle generative adversarial networks on axial view mri;2-s2.0-85104380792;10.3390/electronics10080982;Article;2021;rehabilitation
